ActivityStartDate,mo,day,date,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure2,ResultMeasure_MeasureUnitCode,ResultStatusIdentifier,HUCEightDigitCode,DrainageAreaMeasure_MeasureValue,DrainageAreaMeasure_MeasureUnitCode,HUC8,PFOR2,PWETL2,PURB2,PAGT2
7/29/03,7,29,2003-07-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/14/03,3,14,2003-03-14T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.11,0.11,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/28/07,3,28,2007-03-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.1,0.1,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
7/6/07,7,6,2007-07-06T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
9/26/07,9,26,2007-09-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.26,0.26,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/30/11,3,30,2011-03-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
5/26/10,5,26,2010-05-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/25/09,8,25,2009-08-25T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
2/26/09,2,26,2009-02-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.23,0.23,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/30/10,3,30,2010-03-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.07,0.07,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/26/12,6,26,2012-06-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/31/10,8,31,2010-08-31T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/14/10,12,14,2010-12-14T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/13/04,8,13,2004-08-13T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.14,0.14,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
2/18/04,2,18,2004-02-18T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/2/04,6,2,2004-06-02T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
5/27/09,5,27,2009-05-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.09,0.09,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/9/04,12,9,2004-12-09T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/27/12,3,27,2012-03-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.1,0.1,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/4/12,12,4,2012-12-04T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/30/09,12,30,2009-12-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/25/08,6,25,2008-06-25T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
9/30/08,9,30,2008-09-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,0.08,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/26/08,3,26,2008-03-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/17/16,6,17,2016-06-17T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,0.05,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
11/26/08,11,26,2008-11-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/28/12,8,28,2012-08-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.3,0.3,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/23/16,3,23,2016-03-23T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/27/14,6,27,2014-06-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,0.08,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
2/4/14,2,4,2014-02-04T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/10/15,12,10,2015-12-10T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
9/1/15,9,1,2015-09-01T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,0.08,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
2/5/13,2,5,2013-02-05T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/30/13,8,30,2013-08-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.09,0.09,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
11/5/13,11,5,2013-11-05T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/4/13,6,4,2013-06-04T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
2/27/01,2,27,2001-02-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/21/01,6,21,2001-06-21T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/18/01,12,18,2001-12-18T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
4/18/01,4,18,2001-04-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.17,0.17,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
3/14/17,3,14,2017-03-14T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.15,0.15,mg/l as P,Preliminary,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
9/5/01,9,5,2001-09-05T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.1,0.1,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
2/6/01,2,6,2001-02-06T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
12/19/01,12,19,2001-12-19T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
10/10/02,10,10,2002-10-10T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.02,0.02,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
10/10/02,10,10,2002-10-10T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
2/19/03,2,19,2003-02-19T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.11,0.11,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
12/5/03,12,5,2003-12-05T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
12/5/03,12,5,2003-12-05T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
9/11/01,9,11,2001-09-11T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,0.05,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
10/31/02,10,31,2002-10-31T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
10/31/02,10,31,2002-10-31T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/30/00,8,30,2000-08-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.14,0.14,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/29/00,3,29,2000-03-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
4/3/02,4,3,2002-04-03T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/13/02,6,13,2002-06-13T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/9/02,8,9,2002-08-09T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/28/06,6,28,2006-06-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,0.05,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
10/27/00,10,27,2000-10-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/28/00,6,28,2000-06-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.09,0.09,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
9/27/06,9,27,2006-09-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.09,0.09,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
11/29/06,11,29,2006-11-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/29/06,3,29,2006-03-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.07,0.07,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
6/28/11,6,28,2011-06-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,0.05,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
11/29/11,11,29,2011-11-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
3/28/05,3,28,2005-03-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/25/05,8,25,2005-08-25T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.45,0.45,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
12/28/05,12,28,2005-12-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
10/16/03,10,16,2003-10-16T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
8/30/11,8,30,2011-08-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
11/28/07,11,28,2007-11-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060203,5858,sq mi,15060203,84.58,0,0.01,0
7/18/00,7,18,2000-07-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,0.06,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
4/20/06,4,20,2006-04-20T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,0.05,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
6/8/06,6,8,2006-06-08T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,0.04,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
6/20/06,6,20,2006-06-20T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
12/5/06,12,5,2006-12-05T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/18/02,7,18,2002-07-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.6,0.6,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/18/02,7,18,2002-07-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,14,14,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/17/02,7,17,2002-07-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.13,0.13,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
8/19/02,8,19,2002-08-19T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.14,0.14,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
8/19/02,8,19,2002-08-19T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.52,0.52,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
2/16/00,2,16,2000-02-16T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
3/28/02,3,28,2002-03-28T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
6/12/02,6,12,2002-06-12T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/17/02,7,17,2002-07-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.02,0.02,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/17/02,7,17,2002-07-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.22,0.22,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/18/02,7,18,2002-07-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.53,0.53,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/18/02,7,18,2002-07-18T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,11,11,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
9/17/02,9,17,2002-09-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.09,0.09,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
9/17/02,9,17,2002-09-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.32,0.32,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
12/3/02,12,3,2002-12-03T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
4/19/00,4,19,2000-04-19T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
3/7/06,3,7,2006-03-07T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,0.01,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
6/25/15,6,25,2015-06-25T00:00:00Z,USGS-09415000,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,0.03,mg/l as P,Preliminary,15010010,5090,sq mi,15010010,21.83,0.02,0.27,0.68
1/29/15,1,29,2015-01-29T00:00:00Z,USGS-09415000,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.15,0.15,mg/l as P,Preliminary,15010010,5090,sq mi,15010010,21.83,0.02,0.27,0.68
1/29/15,1,29,2015-01-29T00:00:00Z,USGS-09415000,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.12,0.12,mg/l as P,Preliminary,15010010,5090,sq mi,15010010,21.83,0.02,0.27,0.68
4/28/14,4,28,2014-04-28T00:00:00Z,USGS-09415000,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.49,0.49,mg/l as P,Preliminary,15010010,5090,sq mi,15010010,21.83,0.02,0.27,0.68
9/1/15,9,1,2015-09-01T00:00:00Z,USGS-09415000,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.36,0.36,mg/l as P,Preliminary,15010010,5090,sq mi,15010010,21.83,0.02,0.27,0.68
12/6/05,12,6,2005-12-06T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,0.02,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
3/22/05,3,22,2005-03-22T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.13,0.13,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
4/26/05,4,26,2005-04-26T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.24,0.24,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
8/16/05,8,16,2005-08-16T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,1.33,1.33,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/17/03,7,17,2003-07-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/17/03,7,17,2003-07-17T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,0,,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
6/3/03,6,3,2003-06-03T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,5.9,5.9,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/22/03,7,22,2003-07-22T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Dissolved,0.05,0.05,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
7/22/03,7,22,2003-07-22T00:00:00Z,USGS-09498500,"Stable, normal stage",Routine sample,,Phosphorus,Total,24,24,mg/l as P,Accepted,15060103,4306,sq mi,15060103,73.918,0.01,0.132,0.076
