SITE_ID,YEAR,VISIT_NO,SITENAME,SITETYPE,REPEAT,LON_DD,LAT_DD,XLON_DD,XLAT_DD,XCOORD_SOURCE,STRAHLER,ST_ORDER,DATE_COL,USED,SITESAMP,FLOWSITE,XSTATUS,VALXSTAT,EVALSTATUS,TNT,STRATUM,WGT_WSA,INDXVIS_EXTENT,SAMPCHEM,INDXVIS_CHEM,INDEXYR_CHEM,INDEXVIS_CHEM,SAMPBENT,INDEX_SAMPTYPE,INDEXYR_BENT,INDEXVIS_BENT,INDXVIS_BENT,SAMPPHAB,INDXVIS_PHAB,INDEXYR_PHAB,INDEXVIS_PHAB,STATE,STATE_NM,COUNTY,EPAREGION,WESTEAST,RT_WSA,XELEV,WSAREA,ECO3,ECO3_NM,ECOWSA9,ECOWSA3,NAECO3,NAECO2,NAECO2_NM,NAECO1,ECOREPORT,HUC2,HUC4,HUC6,HUC8,HUC8_NM,SITE_ID:1,YEAR:1,VISIT_NO:1,LANDAREA,PFOR,PWETL,PURB,PAGT,RDDENS,POPDENS,ELEV,"PRECIP_M"""
WAZP99-0632,2001,2,TONTO CREEK,WESTPROB,Y,-111.07074,34.27915,-111.07086,34.28333,GPS,4,4th,6/20/01,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2001,1,YES,REACHWIDE,2001,1,NO,YES,NO,2001,1,AZ,ARIZONA,GILA,REGION__9,WEST,S,1502,154.595,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060105,TONTO,WAZP99-0632,2001,1,154.59,87.17,0,0.22,0,0.77,1.8,1502,0.674
WAZP99-0632,2002,2,TONTO CREEK,WESTPROB,Y,-111.07074,34.27915,-111.07086,34.28333,PREV. VISIT,4,4th,7/30/02,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2001,1,YES,REACHWIDE,2001,1,NO,YES,NO,2001,1,AZ,ARIZONA,GILA,REGION__9,WEST,S,1502,154.595,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060105,TONTO,WAZP99-0632,2001,1,154.59,87.17,0,0.22,0,0.77,1.8,1502,0.674
WAZP99-0645,2001,1,NUTRIOSO CREEK,WESTPROB, ,-109.20244,33.94858,-109.20244,33.94858,GPS,3,3rd,6/13/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,AZ,ARIZONA,APACHE,REGION__9,WEST,T,2346,54.4404,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1502,150200,15020001,LITTLE COLORADO HEADWATERS,WAZP99-0645,2001,1,54.44,90.45,0.03,0.24,0.44,0.55,0.77,2346,0.616
WAZP99-0649,2001,1,BURRO CREEK,WESTPROB, ,-113.53074,34.55402,-113.53074,34.55402,GPS,5,5th +,5/25/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661016,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,AZ,ARIZONA,MOHAVE,REGION__9,WEST,S,486,1815.8198,81,SONORAN BASIN AND RANGE,XER,WMTNS,10.2.1,10.2,SONORAN AND MOHAVE DESERTS,10,NORTH AMERICAN DESERTS,15,1503,150302,15030202,BURRO,WAZP99-0649,2001,1,1815.81,35.4,0.02,0.04,0.01,0.47,0.18,486,0.395
WAZP99-0669,2001,1,TSAILE CREEK,WESTPROB, ,-109.10664,36.35491,-109.11306,36.35491,GPS,3,3rd,6/27/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,AZ,ARIZONA,APACHE,REGION__9,WEST,S,2378,46.7948,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,14,1408,140802,14080204,CHINLE,WAZP99-0669,2001,1,46.79,85.85,0.01,0,0,2.32,0.23,2378,0.362
WAZP99-0687,2001,1,CENTERFIRE CREEK,WESTPROB, ,-109.43339,33.75989,-109.43362,33.7596,GPS,2,2nd,5/30/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,52.98700563,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,AZ,ARIZONA,APACHE,REGION__9,WEST,S,2346,20.2668,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060101,BLACK,WAZP99-0687,2001,1,20.26,96.16,0,0,0,1.41,0,2346,0.676
WAZP99-0712,2002,1,VIRGIN RIVER,WESTPROB, ,-114.01602,36.80649,-114.01601,36.80662,GPS,1,0-1st,8/1/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,73.36662318,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,AZ,ARIZONA,MOHAVE,REGION__9,WEST,T,494,13033.3619,14,MOJAVE BASIN AND RANGE,XER,WMTNS,10.2.1,10.2,SONORAN AND MOHAVE DESERTS,10,NORTH AMERICAN DESERTS,15,1501,150100,15010010,LOWER VIRGIN,WAZP99-0712,2002,1,13033.36,21.83,0.02,0.27,0.68,0.63,3.94,494,0.35
WAZP99-0716,2002,2,BEAVER CREEK,WESTPROB,Y,-111.8295,34.60769,-111.829444,34.613333,PREV. VISIT,5,5th +,7/11/02,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2002,1,YES,REACHWIDE,2002,1,NO,YES,NO,2002,1,AZ,ARIZONA,YAVAPAI,REGION__9,WEST,S,968,1104.4675,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150602,15060202,UPPER VERDE,WAZP99-0716,2002,1,1104.46,67.37,0.04,0.55,0,0.84,4.65,968,0.584
WAZP99-0716,2003,2,BEAVER CREEK,WESTPROB,Y,-111.8295,34.60769,-111.82899,34.60784,GPS,5,5th +,6/11/03,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ, ,NO,YES,NO,2002,1,YES,REACHWIDE,2002,1,NO,YES,NO,2002,1,AZ,ARIZONA,YAVAPAI,REGION__9,WEST,S,968,1104.4675,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150602,15060202,UPPER VERDE,WAZP99-0716,2002,1,1104.46,67.37,0.04,0.55,0,0.84,4.65,968,0.584
WAZP99-0744,2002,1,BUBBLING SPRING CANYON,WESTPROB, ,-110.56828,36.73297,-110.56916,36.73368,GPS,1,0-1st,8/15/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,73.36662318,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,AZ,ARIZONA,NAVAJO,REGION__9,WEST,S,2024,6.4836,22,ARIZONA/NEW MEXICO PLATEAU,XER,WMTNS,10.1.7,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1408,140802,14080204,CHINLE,WAZP99-0744,2002,1,6.48,38.96,0,0,0,0.59,0.15,2024,0.322
WAZP99-0768,2002,1,BRIGHT ANGEL CREEK,WESTPROB, ,-112.07993,36.1214,-112.08102,36.12175,GPS,3,3rd,9/15/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,AZ,ARIZONA,COCONINO,REGION__9,WEST,R,883,172.5576,22,ARIZONA/NEW MEXICO PLATEAU,XER,WMTNS,10.1.7,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010001,LOWER COLORADO-MARBLE CANYON,WAZP99-0768,2002,1,172.55,72.2,0,0,0,0.47,0.01,883,0.554
WAZP99-0828,2002,1,NORTH FORK BLACK RIVER,WESTPROB, ,-109.31927,33.86358,-109.31918,33.86291,GPS,3,3rd,8/13/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,AZ,ARIZONA,APACHE,REGION__9,WEST,R,2520,118.7508,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060101,BLACK,WAZP99-0828,2002,1,118.75,43.31,0.12,0,0,0.77,0.04,2520,0.708
WAZP99-0839,2003,1,SYCAMORE CREEK,WESTPROB, ,-111.96975,34.35254,-111.96963,34.35254,GPS,3,3rd,5/6/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,AZ,ARIZONA,YAVAPAI,REGION__9,WEST,S,1207,99.5604,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1507,150701,15070102,AGUA FRIA,WAZP99-0839,2003,1,99.56,30.92,0,0,0,0.37,0.02,1207,0.529
WAZP99-0851,2002,1,TONTO CREEK,WESTPROB, ,-111.26927,34.11861,-111.27108,34.12011,GPS,5,5th +,8/19/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661014,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,AZ,ARIZONA,GILA,REGION__9,WEST,T,890,1270.3466,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060105,TONTO,WAZP99-0851,2002,1,1270.34,78.79,0,0.17,0.06,0.56,2.46,890,0.585
WAZP99-0863,2003,1,CHERRY CREEK,WESTPROB, ,-110.83649,33.80028,-110.8364,33.79992,GPS,3,3rd,5/14/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,AZ,ARIZONA,GILA,REGION__9,WEST,S,916,547.9375,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060103,UPPER SALT,WAZP99-0863,2003,1,547.93,77.71,0.02,0.15,0.16,0.55,0.54,916,0.597
WAZP99-0876,2003,1,WHEATFIELDS CREEK,WESTPROB, ,-109.13311,36.20858,-109.13293,36.2086,GPS,4,4th,6/17/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661014,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,AZ,ARIZONA,APACHE,REGION__9,WEST,T,2194,199.1622,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,14,1408,140802,14080204,CHINLE,WAZP99-0876,2003,1,199.16,73.8,0.02,0.02,1.52,2.24,0.63,2194,0.348
WAZP99-0893,2003,1,CHERRY CREEK,WESTPROB,Y,-110.90451,33.92252,-110.905278,33.9225,GPS,3,3rd,5/13/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,39.74025422,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,AZ,ARIZONA,GILA,REGION__9,WEST,S,1230,404.385,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1506,150601,15060103,UPPER SALT,WAZP99-0893,2003,1,404.38,80.05,0.03,0.2,0.22,0.54,0.73,1230,0.589
WAZP99-0906,2003,1,LITTLE COLORADO RIVER,WESTPROB, ,-109.35198,34.28429,-109.3521,34.28421,GPS,5,5th +,6/4/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,AZ,95.37661014,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,AZ,ARIZONA,APACHE,REGION__9,WEST,T,1849,1172.8899,23,ARIZONA/NEW MEXICO MOUNTAINS,WMT,WMTNS,13.1.1,13.1,UPPER GILA MOUNTAINS,13,UPPER GILA MOUNTAINS,15,1502,150200,15020001,LITTLE COLORADO HEADWATERS,WAZP99-0906,2003,1,1172.88,51.32,0.19,0.69,1.16,0.86,5.66,1849,0.53
WCOP99-0503,2000,1,LOST MAN CREEK,WESTPROB, ,-106.57176,39.15949,-106.571667,39.158611,GPS,1,0-1st,7/27/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,1200.717278,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,CO,COLORADO,PITKIN,REGION__8,WEST,R,3660,1.1187,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1401,140100,14010004,ROARING FORK,WCOP99-0503,2000,1,1.11,0,0,0,0,0,0,3660,0.81
WCOP99-0506,2000,1,STAKE SPRINGS DRAW,WESTPROB, ,-108.45796,39.88692,-108.458333,39.886944,GPS,3,3rd,7/19/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,300.1793196,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,CO,COLORADO,RIO BLANCO,REGION__8,WEST,T,2024,51.4282,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1405,140500,14050006,PICEANCE-YELLOW,WCOP99-0506,2000,1,51.42,47.84,0.11,0,0,1.21,0,2024,0.466
WCOP99-0512,2000,1,ELKHEAD CREEK,WESTPROB, ,-107.29095,40.66462,-107.290833,40.664722,GPS,3,3rd,8/29/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,480.2869112,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,CO,COLORADO,ROUTT,REGION__8,WEST,S,2066,234.4977,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1405,140500,14050001,UPPER YAMPA,WCOP99-0512,2000,1,234.49,89.91,0,0,0.64,0.24,0.01,2066,0.791
WCOP99-0565,2001,1,ELKHEAD CREEK,WESTPROB, ,-107.27507,40.62761,-107.274722,40.628056,GPS,3,3rd,8/15/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,300.1793196,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,CO,COLORADO,ROUTT,REGION__8,WEST,S,1986,289.9426,18,WYOMING BASIN,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1405,140500,14050001,UPPER YAMPA,WCOP99-0565,2001,1,289.94,85.06,0,0,2.14,0.36,0.03,1986,0.749
WCOP99-0567,2001,1,DRY FORK ESCALANTE CREEK,WESTPROB, ,-108.38853,38.51962,-108.389167,38.519722,GPS,2,2nd,6/7/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,600.358639,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,CO,COLORADO,MESA,REGION__8,WEST,S,2296,28.5193,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1402,140200,14020005,LOWER GUNNISON,WCOP99-0567,2001,1,28.51,98.94,0,0,0,0.86,0,2296,0.786
WCOP99-0591,2001,1,FALL CREEK,WESTPROB, ,-108.03855,37.93377,-108.039444,37.933611,GPS,3,3rd,9/15/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,480.2869112,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,CO,COLORADO,SAN MIGUEL,REGION__8,WEST,S,2525,52.1084,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1403,140300,14030003,SAN MIGUEL,WCOP99-0591,2001,1,52.1,78.5,0,0,0.56,0.41,0.07,2525,0.829
WCOP99-0595,2001,1,EAST RIFLE CREEK,WESTPROB, ,-107.7104,39.64305,-107.724167,39.643611,GPS,3,3rd,8/2/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,300.1793196,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,CO,COLORADO,GARFIELD,REGION__8,WEST,R,1858,111.2091,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1401,140100,14010005,COLORADO HEADWATERS-PLATEAU,WCOP99-0595,2001,1,111.2,84.42,0,0,0.13,0.76,0.58,1858,0.662
WCOP99-0621,2002,1,DOLORES RIVER,WESTPROB, ,-108.82663,37.97364,-108.826667,37.973611,MAP,5,5th +,6/13/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,720.4303671,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,CO,COLORADO,SAN MIGUEL,REGION__8,WEST,T,1719,2666.5405,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1403,140300,14030002,UPPER DOLORES,WCOP99-0621,2002,1,2666.54,77.14,0,0.05,1.51,0.7,0.57,1719,0.636
WCOP99-0633,2003,1,CRYSTAL CREEK,WESTPROB, ,-106.67253,38.72388,-106.6725,38.723889,GPS,2,2nd,6/18/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,600.358639,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,CO,COLORADO,GUNNISON,REGION__8,WEST,R,2781,48.9447,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1402,140200,14020001,EAST-TAYLOR,WCOP99-0633,2003,1,48.94,72.01,0,0,0,0.005,0,2781,0.584
