ActivityStartDate,mo,day,date,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure_MeasureUnitCode,ResultStatusIdentifier,HUCEightDigitCode,DrainageAreaMeasure_MeasureValue,DrainageAreaMeasure_MeasureUnitCode,SITE_ID,YEAR,PFOR,PWETL,PURB,PAGT,HUC8,HUC8_NM,HUC2,STRAHLER,ST_ORDER
2000-12-14,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-12-14,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-12-14,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2000-12-14,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2000-12-14,12,14,2000-12-14T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2000-02-15,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-02-15,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-02-15,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2000-02-15,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2000-02-15,2,15,2000-02-15T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2000-04-18,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-04-18,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-04-18,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2000-04-18,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2000-04-18,4,18,2000-04-18T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2000-07-19,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-07-19,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2000-07-19,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2000-07-19,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2000-07-19,7,19,2000-07-19T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2002-03-29,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-03-29,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-03-29,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2002-03-29,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2002-03-29,3,29,2002-03-29T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2003-02-20,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2003-02-20,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2003-02-20,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2003-02-20,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2003-02-20,2,20,2003-02-20T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2002-12-04,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-12-04,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0551,2000,58.63,0,0.03,0,15060103,UPPER SALT,15,2,2nd
2002-12-04,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0598,2000,94.57,0,0.25,0,15060103,UPPER SALT,15,2,2nd
2002-12-04,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0863,2003,77.71,0.02,0.15,0.16,15060103,UPPER SALT,15,3,3rd
2002-12-04,12,4,2002-12-04T00:00:00Z,USGS-09498400,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060103,195,sq mi,WAZP99-0893,2003,80.05,0.03,0.2,0.22,15060103,UPPER SALT,15,3,3rd
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,,Preliminary,15060202,30,sq mi,WAZP99-0619,2000,38.21,0,0.42,0.33,15060202,UPPER VERDE,15,5,5th +
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,,Preliminary,15060202,30,sq mi,WAZP99-0716,2002,67.37,0.04,0.55,0,15060202,UPPER VERDE,15,5,5th +
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Dissolved,,,Preliminary,15060202,30,sq mi,WAZP99-0716,2002,67.37,0.04,0.55,0,15060202,UPPER VERDE,15,5,5th +
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,mg/l as P,Preliminary,15060202,30,sq mi,WAZP99-0619,2000,38.21,0,0.42,0.33,15060202,UPPER VERDE,15,5,5th +
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,mg/l as P,Preliminary,15060202,30,sq mi,WAZP99-0716,2002,67.37,0.04,0.55,0,15060202,UPPER VERDE,15,5,5th +
2001-04-11,4,11,2001-04-11T00:00:00Z,USGS-09502960,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,mg/l as P,Preliminary,15060202,30,sq mi,WAZP99-0716,2002,67.37,0.04,0.55,0,15060202,UPPER VERDE,15,5,5th +
2012-02-28,2,28,2012-02-28T00:00:00Z,USGS-09508300,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.007,mg/l as P,Accepted,15060203,36.4,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2003-05-29,5,29,2003-05-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2003-07-29,7,29,2003-07-29T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2003-03-14,3,14,2003-03-14T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.11,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2007-03-28,3,28,2007-03-28T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.1,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2007-07-06,7,6,2007-07-06T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2007-09-26,9,26,2007-09-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.26,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2011-03-30,3,30,2011-03-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2010-05-26,5,26,2010-05-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2009-08-25,8,25,2009-08-25T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2009-02-26,2,26,2009-02-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.23,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2010-03-30,3,30,2010-03-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.07,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2012-06-26,6,26,2012-06-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2010-08-31,8,31,2010-08-31T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.06,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2010-12-14,12,14,2010-12-14T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2004-08-13,8,13,2004-08-13T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.14,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2004-02-18,2,18,2004-02-18T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2004-06-02,6,2,2004-06-02T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.02,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2009-05-27,5,27,2009-05-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.09,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2004-12-09,12,9,2004-12-09T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2012-03-27,3,27,2012-03-27T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.1,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2012-12-04,12,4,2012-12-04T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,Not Detected,Phosphorus,Total,,,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2009-12-30,12,30,2009-12-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.01,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2008-06-25,6,25,2008-06-25T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.03,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2008-09-30,9,30,2008-09-30T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.08,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2008-03-26,3,26,2008-03-26T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.04,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
2016-06-17,6,17,2016-06-17T00:00:00Z,USGS-09508500,"Stable, normal stage",Routine sample,,Phosphorus,Total,0.05,mg/l as P,Accepted,15060203,5858,sq mi,WAZP99-0539,2000,84.58,0,0.01,0,15060203,LOWER VERDE,15,4,4th
